Title,imdbRating,imdbVotes,Metascore,Runtime,Year,Genre1,Genre2,Rated,Director,Actors1,Actors2,Country,Writer,Awards,Released,imdbID,Plot,Poster
Congo,5,34905,22,109,1995,Action,Adventure,PG-13,Frank Marshall,Laura Linney,Dylan Walsh,USA,"Michael Crichton (novel), John Patrick Shanley (screenplay)",2 wins & 11 nominations.,9-Jun-95,tt0112715,"When an expedition to the African Congo ends in disaster, a new team is assembled to find out what went wrong.",https://images-na.ssl-images-amazon.com/images/M/MV5BMmQ2YWFjZGItMTNiZi00ZDFmLWE3ZTAtNTZiZTI5ZjBjYzlkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Wimbledon,6.3,52302,59,98,2004,Comedy,Romance,PG-13,Richard Loncraine,Kirsten Dunst,Paul Bettany,UK,"Adam Brooks, Jennifer Flackett, Mark Levin",1 nomination.,17-Sep-04,tt0360201,"A pro tennis player has lost his ambition and has fallen in rank to 119. Fortunately for him, he meets a young player on the women's circuit who helps him recapture his focus for Wimbledon.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTU2MDAwMDU0M15BMl5BanBnXkFtZTcwNTE2MjYyMQ@@._V1_SX300.jpg
White Noise,5.5,42135,30,101,2005,Drama,Horror,PG-13,Geoffrey Sax,Michael Keaton,Chandra West,UK,Niall Johnson,1 win & 2 nominations.,7-Jan-05,tt0375210,"An architect's desire to speak with his wife from beyond the grave, becomes an obsession with supernatural repercussions.",https://images-na.ssl-images-amazon.com/images/M/MV5BNWVkNGY2NTgtNWVhNi00NWU3LWE4NWMtNDFjMzA1N2QzMjQyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Only Lovers Left Alive,7.3,62363,79,123,2013,Comedy,Drama,R,Jim Jarmusch,Tilda Swinton,Tom Hiddleston,Germany,"Jim Jarmusch, Marion Bessay (adaptation)",9 wins & 38 nominations.,25-Dec-13,tt1714915,"A depressed musician reunites with his lover, though their romance - which has already endured several centuries - is disrupted by the arrival of her uncontrollable younger sister.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTY0NTQ1NjA0OV5BMl5BanBnXkFtZTgwMDg5NjkzMTE@._V1_SX300.jpg
Kiss of the Spider Woman,7.4,10952,80,120,1985,Drama,Romance,R,Hector Babenco,William Hurt,Raul Julia,Brazil,"Manuel Puig (based on the novel by), Leonard Schrader",Won 1 Oscar. Another 10 wins & 11 nominations.,26-Jul-85,tt0089424,"Luis Molina and Valentin Arregui are cell mates in a South American prison. Luis, a trans individual, is found guilty of immoral behavior and Valentin is a political prisoner. To escape ...","http://ia.media-imdb.com/images/M/MV5BMTUzOTg0MDEwOV5BMl5BanBnXkFtZTcwNTg1OTM2MQ@@._V1._CR12,11,306,484_SX89_AL_.jpg_V1_SX300.jpg"
Operation Pacific,6.7,2312,N/A,111,1951,Drama,War,APPROVED,George Waggner,John Wayne,Patricia Neal,USA,George Waggner,N/A,27-Jan-51,tt0043887,"During WWII, a submarine's second in command inherits the problem of torpedoes that don't explode. When on shore, he is eager to win back his ex-wife.",N/A
Queen of Earth,6.4,3623,77,90,2015,Drama,Thriller,NOT RATED,Alex Ross Perry,Elisabeth Moss,Katherine Waterston,USA,Alex Ross Perry,1 win & 3 nominations.,26-Aug-15,tt3993894,Two women who grew up together discover they have drifted apart when they retreat to a lake house together.,https://images-na.ssl-images-amazon.com/images/M/MV5BMzMzOTc2MzYyNl5BMl5BanBnXkFtZTgwODA4MDgzNjE@._V1_SX300.jpg
Eat the Rich,6.1,1022,N/A,90,1987,Action,Comedy,R,Peter Richardson,Kevin Allen,Ronald Allen,UK,"Peter Richardson, Pete Richens",N/A,N/A,tt0092944,"Alex is a disgruntled waitress at a snobby exclusive restaurant who falls on hard times. Forced to deal with the contempt and disgust of the upper class, Alex & cohorts attempt to go on a ...",N/A
The Spy Who Came in from the Cold,7.7,10653,N/A,112,1965,Drama,Romance,UNRATED,Martin Ritt,Richard Burton,Claire Bloom,UK,"John le CarrÌ© (novel), Paul Dehn (screenplay), Guy Trosper (screenplay)",Nominated for 2 Oscars. Another 10 wins & 3 nominations.,16-Dec-65,tt0059749,"British agent Alec Leamas refuses to come in from the cold war during the 1960s, choosing to face another mission, which may prove to be his final one.",http://ia.media-imdb.com/images/M/MV5BMjYxODQ0NzY1NV5BMl5BanBnXkFtZTcwNzE4NTg5MQ@@._V1_SX300.jpg
Darkman II: The Return of Durant,5,3682,N/A,93,1995,Action,Crime,R,Bradford May,Larry Drake,Arnold Vosloo,USA,"Robert Eisele (story), Lawrence Hertzog (story), Steven McKay (teleplay)",N/A,11-Jul-95,tt0109552,"Darkman and Durant return and they hate each other as much as ever. This time, Durant has plans to take over the city's drug trade using high-tech weaponry. Darkman must step in and try to stop Durant once and for all.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTIyNjM5NDY0MF5BMl5BanBnXkFtZTYwMTY2NTE5._V1_SX300.jpg
Video Games: The Movie,6.1,4516,40,101,2014,Documentary,Animation,N/A,Jeremy Snead,Sean Astin,Al Alcorn,USA,Jeremy Snead,1 win.,18-Jul-14,tt3214002,"Video Games: The Movie, a feature length documentary, aims to educate & entertain audiences about how video games are made, marketed, and consumed by looking back at gaming history and ...",http://ia.media-imdb.com/images/M/MV5BMjI2NzQ0MTI1Ml5BMl5BanBnXkFtZTgwNzMyMDE2MDE@._V1_SX300.jpg
Jaws,8,421114,86,124,1975,Adventure,Drama,PG,Steven Spielberg,Roy Scheider,Robert Shaw,USA,"Peter Benchley (screenplay), Carl Gottlieb (screenplay), Peter Benchley (based on the novel by)",Won 3 Oscars. Another 10 wins & 16 nominations.,20-Jun-75,tt0073195,"When a gigantic great white shark begins to menace the small island community of Amity, a police chief, a marine scientist and a grizzled fisherman set out to stop it.",https://images-na.ssl-images-amazon.com/images/M/MV5BNDcxODkyMjY4MF5BMl5BanBnXkFtZTgwOTk5NTc5MDE@._V1_SX300.jpg
Inside the Living Body,8.2,164,N/A,90,2007,Documentary,Documentary,N/A,Martin Williams,Howard Ward,Ellie-Jo Brooks,UK,N/A,1 win.,16-Sep-07,tt1086781,"The story of a human life, from first breath to last. Told from within the body.",http://ia.media-imdb.com/images/M/MV5BZjNlMjNlOGEtNGNkMi00YWFlLTkzMjItNzgzZTUyNzk0MDkwXkEyXkFqcGdeQXVyNTI0Nzk5NDQ@._V1_SX300.jpg
Insidious: Chapter 2,6.6,111459,40,106,2013,Fantasy,Horror,PG-13,James Wan,Patrick Wilson,Rose Byrne,USA,"Leigh Whannell (based on characters created by), James Wan (story), Leigh Whannell (story), Leigh Whannell (screenplay)",15 nominations.,13-Sep-13,tt2226417,"The Lamberts believe that they have defeated the spirits that have haunted their family, but they soon discover that evil is not beaten so easily.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTg0OTA5ODIxNF5BMl5BanBnXkFtZTcwNTUzNDg4OQ@@._V1_SX300.jpg
Revenge of the Nerds III: The Next Generation,3.7,3783,N/A,93,1992,Comedy,Comedy,NOT RATED,Roland Mesa,Robert Carradine,Ted McGinley,USA,"Tim Metcalfe (characters), Miguel Tejada-Flores (characters), Steve Zacharias (characters), Jeff Buhai (characters), Steve Zacharias, Jeff Buhai",N/A,13-Jul-92,tt0105251,"The nerds have taken the college, but some jocks are not going to allow this anymore.",http://ia.media-imdb.com/images/M/MV5BMTk4NDA4OTY5NF5BMl5BanBnXkFtZTcwOTAxNzgxMQ@@._V1_SX300.jpg
Lantana,7.4,16564,84,121,2001,Drama,Mystery,R,Ray Lawrence,Anthony LaPaglia,Geoffrey Rush,Australia,"Andrew Bovell (play), Andrew Bovell (screenplay)",36 wins & 22 nominations.,8-Mar-02,tt0259393,The relationships of four couples unravel after the discovery of a young woman's body in Lantana bush in suburban Sydney.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY2MjE5ODU1NF5BMl5BanBnXkFtZTYwMTk3NDk5._V1_SX300.jpg
16 Wishes,5.5,8018,N/A,90,2010,Drama,Family,G,Peter DeLuise,Debby Ryan,Jean-Luc Bilodeau,Canada,Annie DeYoung,1 win & 1 nomination.,25-Jun-10,tt1646876,"A 16 year old girl prepares a list of 16 wishes for 8 years, hoping they will come true on her 16th birthday. A fairy comes to give her 16 candles that make the 16 wishes come true. Her ...",https://images-na.ssl-images-amazon.com/images/M/MV5BMTY0ODk1OTI0MF5BMl5BanBnXkFtZTcwNTMyODMwNA@@._V1_SX300.jpg
Not Another Teen Movie,5.7,81234,32,89,2001,Comedy,Comedy,R,Joel Gallen,Chyler Leigh,Chris Evans,USA,"Mike Bender, Adam Jay Epstein, Andrew Jacobson, Phil Beauman, Buddy Johnson",5 nominations.,14-Dec-01,tt0277371,A sendup of all the teen movies that have accumulated in the past two decades.,https://images-na.ssl-images-amazon.com/images/M/MV5BODYyNTQyNzAzNF5BMl5BanBnXkFtZTgwNTA4ODYxMTE@._V1_SX300.jpg
Corner Gas: The Movie,6.7,1269,N/A,90,2014,Comedy,Comedy,N/A,David Storey,Brent Butt,Gabrielle Miller,Canada,"Brent Butt (story), Andrew Carr (story), Andrew Wreggitt (story), Brent Butt (teleplay), Andrew Carr (teleplay), Andrew Wreggitt (teleplay)",1 nomination.,3-Dec-14,tt3788052,As the town of Dog River goes bankrupt the residents of the town must pack up and move out. However our favourite citizens make one last-ditch effort to save Dog River.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYxMzc3NjQzMV5BMl5BanBnXkFtZTgwMzQwMzQxMzE@._V1_SX300.jpg
Confetti,5.8,4506,57,100,2006,Comedy,Music,R,Debbie Isitt,Martin Freeman,Jessica Hynes,UK,Debbie Isitt (concept),3 nominations.,5-May-06,tt0427089,A mockumentary that follows three couples as they battle it out to win the coveted title of 'Most Original Wedding of the Year'.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjc5NjM0NjE5OV5BMl5BanBnXkFtZTcwMjI5MDE0MQ@@._V1_SX300.jpg
Eating Out: All You Can Eat,6,2429,24,80,2009,Comedy,Drama,NOT RATED,Glenn Gaylord,Rebekah Kochan,Daniel Skelton,USA,"Phillip J. Bartell, Q. Allan Brocka (characters), Q. Allan Brocka",N/A,9-Oct-09,tt1472059,"A gay Internet connection is made, but entanglements ensue due to hiding behind the name and photo of a straight male stripper who happens to return to the area.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTY3MDg3MzMwOV5BMl5BanBnXkFtZTgwNTg3MjcyODE@._V1_SX300.jpg
Far from the Madding Crowd,7.1,30858,71,119,2015,Drama,Romance,PG-13,Thomas Vinterberg,Carey Mulligan,Matthias Schoenaerts,UK,"Thomas Hardy (based on the novel by), David Nicholls (screenplay)",6 nominations.,22-May-15,tt2935476,"In Victorian England, the independent and headstrong Bathsheba Everdene attracts three very different suitors: Gabriel Oak, a sheep farmer; Frank Troy, a reckless Sergeant; and William Boldwood, a prosperous and mature bachelor.",https://images-na.ssl-images-amazon.com/images/M/MV5BNzI4NzUwNDgwN15BMl5BanBnXkFtZTgwNTI3MjMwNTE@._V1_SX300.jpg
Like Crazy,6.7,47454,71,86,2011,Drama,Romance,PG-13,Drake Doremus,Anton Yelchin,Felicity Jones,USA,"Drake Doremus, Ben York Jones",9 wins & 6 nominations.,27-Jan-12,tt1758692,"A British college student falls for an American student, only to be separated from him when she's banned from the U.S. after overstaying her visa.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjAzOTgyOTU4OF5BMl5BanBnXkFtZTcwNDYxMjcxNg@@._V1_SX300.jpg
Inside Llewyn Davis,7.4,98604,92,104,2013,Drama,Music,R,Ethan Coen,Oscar Isaac,Carey Mulligan,USA,"Joel Coen, Ethan Coen",Nominated for 2 Oscars. Another 46 wins & 157 nominations.,10-Jan-14,tt2042568,A week in the life of a young singer as he navigates the Greenwich Village folk scene of 1961.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjAxNjcyNDQxM15BMl5BanBnXkFtZTgwNzU2NDA0MDE@._V1_SX300.jpg
The Amityville Haunting,2.7,1775,N/A,86,2011,Horror,Horror,NOT RATED,Geoff Meed,Luke Barnett,Casey Campbell,USA,N/A,N/A,13-Dec-11,tt2042447,This movie is a 'found-footage' film about the Benson family who move in to the infamous house where the DeFeo family were murdered in the 1970s over 30 years earlier. Things start ...,https://images-na.ssl-images-amazon.com/images/M/MV5BMjMzMTM0NDA0NV5BMl5BanBnXkFtZTgwNTAyMjM5MTE@._V1_SX300.jpg
Meet the Parents,7,263276,73,108,2000,Comedy,Romance,PG-13,Jay Roach,Robert De Niro,Ben Stiller,USA,"Greg Glienna, Mary Ruth Clarke, Greg Glienna (story), Mary Ruth Clarke (story), Jim Herzfeld (screenplay), John Hamburg (screenplay)",Nominated for 1 Oscar. Another 7 wins & 14 nominations.,6-Oct-00,tt0212338,"Male nurse Greg Focker meets his girlfriend's parents before proposing, but her suspicious father is every date's worst nightmare.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTc2NzYyMjc5NV5BMl5BanBnXkFtZTgwOTEwODMxMDE@._V1_SX300.jpg
Now and Then,6.7,21631,N/A,100,1995,Comedy,Drama,PG-13,Lesli Linka Glatter,Christina Ricci,Rosie O'Donnell,USA,I. Marlene King,1 nomination.,20-Oct-95,tt0114011,Four 12-year-old girls grow up together during an eventful small-town summer in 1970.,http://ia.media-imdb.com/images/M/MV5BMTY4MjMwNzA1NF5BMl5BanBnXkFtZTcwNzEwNTYyMQ@@._V1_SX300.jpg
Unmistaken Child,7.7,627,66,102,2008,Documentary,Documentary,N/A,Nati Baratz,Tenzin Zopa,Tenzin Zopa,Israel,"Ilil Alexander (screenwriter), Nati Baratz",9 wins & 3 nominations.,N/A,tt1286798,"In Nepal, a venerable monk, Geshe Lama Konchog, dies and one of his disciples, a youthful monk named Tenzin Zopa, searches for his master's reincarnation. The film follows his search to the...",https://images-na.ssl-images-amazon.com/images/M/MV5BMTM1NjE4MzE5MV5BMl5BanBnXkFtZTcwNDExMjE1Mg@@._V1_SX300.jpg
Dallas Buyers Club,8,331871,84,117,2013,Biography,Drama,R,Jean-Marc VallÌ©e,Matthew McConaughey,Jennifer Garner,USA,"Craig Borten, Melisa Wallack",Won 3 Oscars. Another 79 wins & 78 nominations.,22-Nov-13,tt0790636,"In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTYwMTA4MzgyNF5BMl5BanBnXkFtZTgwMjEyMjE0MDE@._V1_SX300.jpg
Ring the Bell,6.4,326,N/A,97,2013,Drama,Drama,PG,Thomas Weber,Ryan Scharoun,Ashley Nicole Anderson,USA,"Mark Miller, Thomas Weber",N/A,9-Apr-13,tt2327495,"When high-powered sports agent Rob Decker arrives looking for his next major league prospect, he finds more than he bargained for at the Cooke Boys Ranch. As he works to secure Shawn Hart, ...",https://images-na.ssl-images-amazon.com/images/M/MV5BMTcyMzc2OTA2Ml5BMl5BanBnXkFtZTgwNzIyNzA2MDE@._V1_SX300.jpg
Revenge of the Ninja,6.1,3237,N/A,90,1983,Action,Crime,R,Sam Firstenberg,ShÌ« Kosugi,Keith Vitali,USA,James R. Silke (screenplay),N/A,16-Sep-83,tt0086192,"After his family is killed in Japan by ninjas, Cho and his son Kane come to America to start a new life. He opens a doll shop but is unwittingly importing heroin in the dolls. When he finds...",https://images-na.ssl-images-amazon.com/images/M/MV5BMTU1OTQwNzUyNV5BMl5BanBnXkFtZTcwOTI0NzU2NA@@._V1_SX300.jpg
Kiss Me Deadly,7.7,14113,N/A,106,1955,Crime,Film-Noir,APPROVED,Robert Aldrich,Ralph Meeker,Albert Dekker,USA,"Mickey Spillane (novel), A.I. Bezzerides (screenplay)",1 win.,18-May-55,tt0048261,"A doomed female hitchhiker pulls Mike Hammer into a deadly whirlpool of intrigue, revolving around a mysterious ""great whatsit.""",N/A
Underbelly Files: Tell Them Lucifer Was Here,6.8,234,N/A,N/A,2011,Crime,Drama,N/A,Shawn Seet,Brett Climo,Greg Stone,Australia,Peter Gawler,1 win & 1 nomination.,7-Feb-11,tt1684227,The tragic story of the 1998 murders of Victoria Police officers Rod Miller and Gary Silk.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxMTY4OTQ0M15BMl5BanBnXkFtZTcwOTAyOTM0NA@@._V1_SX300.jpg
The Adventures of Robin Hood,8,38945,97,102,1938,Action,Adventure,PG,Michael Curtiz,Errol Flynn,Olivia de Havilland,USA,"Norman Reilly Raine (original screenplay: based upon ancient Robin Hood legends), Seton I. Miller (original screenplay: based upon ancient Robin Hood legends)",Won 3 Oscars. Another 2 wins & 2 nominations.,14-May-38,tt0029843,"When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence, a Saxon lord fights back as the outlaw leader of a rebel guerrilla army.",http://ia.media-imdb.com/images/M/MV5BZmRkZGY3ZmUtMTZhZS00NDU4LWJjYWUtODAzY2Y1MGE3ZjYzXkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_SX300.jpg
Hot Lead and Cold Feet,6.1,867,N/A,90,1978,Family,Western,G,Robert Butler,Jim Dale,Karen Valentine,USA,"Joseph L. McEveety (screenplay), Arthur Alsberg (screenplay), Don Nelson (screenplay), Rod Piffath (story)",N/A,5-Jul-78,tt0077698,This saga of the old west involves twin brothers who compete for possession of a rickety cow town founded by their father while a crooked mayor tries to put an end to the competitors so he can inherit the town himself.,N/A
Megamind,7.3,175190,63,95,2010,Animation,Action,PG,Tom McGrath,Will Ferrell,Brad Pitt,USA,"Alan Schoolcraft, Brent Simons",2 wins & 16 nominations.,5-Nov-10,tt1001526,"The supervillain Megamind finally defeats his nemesis, the superhero Metro Man. But without a hero, he loses all purpose and must find new meaning to his life.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTAzMzI0NTMzNDBeQTJeQWpwZ15BbWU3MDM3NTAyOTM@._V1_SX300.jpg
Snitch,6.5,65786,51,112,2013,Action,Drama,PG-13,Ric Roman Waugh,Dwayne Johnson,Barry Pepper,USA,"Justin Haythe, Ric Roman Waugh",1 nomination.,22-Feb-13,tt0882977,"A father goes undercover for the DEA in order to free his son, who was imprisoned after being set up in drug deal.",https://images-na.ssl-images-amazon.com/images/M/MV5BNTM4MTYzNjA3Nl5BMl5BanBnXkFtZTcwMzcyNDA5OA@@._V1_SX300.jpg
Private Benjamin,6.1,18403,N/A,109,1980,Comedy,War,R,Howard Zieff,Goldie Hawn,Eileen Brennan,USA,"Nancy Meyers, Charles Shyer, Harvey Miller",Nominated for 3 Oscars. Another 1 win & 3 nominations.,10-Oct-80,tt0081375,A sheltered young high society woman joins the United States Army on a whim and finds herself in a more difficult situation than she ever expected.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjIyNjkxMjUyMF5BMl5BanBnXkFtZTgwMzU0MjEyMDE@._V1_SX300.jpg
White Lightning,6.4,2590,N/A,101,1973,Action,Drama,PG,Joseph Sargent,Burt Reynolds,Jennifer Billingsley,USA,William W. Norton,N/A,22-Oct-73,tt0070915,An ex con teams up with federal agents to help them with breaking up a moonshine ring.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTMzNjc0OTg4NF5BMl5BanBnXkFtZTcwNjY2Mzg3NA@@._V1_SX300.jpg
In the Heart of the Sea,6.9,77170,47,122,2015,Action,Adventure,PG-13,Ron Howard,Chris Hemsworth,Benjamin Walker,USA,"Charles Leavitt (screenplay), Charles Leavitt (story), Rick Jaffa (story), Amanda Silver (story), Nathaniel Philbrick (book)",1 win & 5 nominations.,11-Dec-15,tt1390411,"A recounting of a New England whaling ship's sinking by a giant whale in 1820, an experience that later inspired the great novel Moby-Dick.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjA5NzUwODExM15BMl5BanBnXkFtZTgwNjM0MzE4NjE@._V1_SX300.jpg
Please Kill Mr. Know It All,4.6,151,N/A,87,2012,Comedy,Crime,N/A,Colin Carter,Lara Jean Chorostecki,Jefferson Brown,Canada,Sandra Feldman (screenplay),1 win & 6 nominations.,14-Apr-13,tt1935201,An anonymous advice columnist finds herself caught in an unlikely romance with the man who has been hired to kill her alter ego.,http://ia.media-imdb.com/images/M/MV5BMTQ4OTY4MTM2M15BMl5BanBnXkFtZTcwNTY5NTI1NQ@@._V1_SX300.jpg
Open Grave,6.3,21940,33,102,2013,Horror,Mystery,R,Gonzalo LÌ_pez-Gallego,Sharlto Copley,Thomas Kretschmann,USA,"Eddie Borey, Chris Borey",2 nominations.,3-Jan-14,tt2071550,"A man wakes up in the wilderness, in a pit full of dead bodies, with no memory and must determine if the murderer is one of the strangers who rescued him, or if he himself is the killer.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTc1MDM5MTI0Ml5BMl5BanBnXkFtZTgwOTMyODI1MDE@._V1_SX300.jpg
Bare,5,1046,52,90,2015,Drama,Romance,NOT RATED,Natalia Leite,Dianna Agron,Paz de la Huerta,USA,Natalia Leite,1 win.,30-Oct-15,tt3741316,"A young girl in Nevada becomes romantically involved with a female drifter who introduces her to a life of stripping, drugs, and metaphysical experiences that teach her what happens when real life catches up with dark fantasy.",https://images-na.ssl-images-amazon.com/images/M/MV5BNTUzNTc4MjQ4Ml5BMl5BanBnXkFtZTgwOTU3NTkxNzE@._V1_SX300.jpg
Barbie and the Secret Door,5.7,537,N/A,81,2014,Animation,Family,N/A,Karen J. Lloyd,Kelly Sheridan,Brittany McDonald,USA,Brian Hohlfeld,N/A,7-Aug-14,tt3921852,"Alexa is a very shy princess from a contemporary, modern kingdom who discovers a secret door that opens to a magical land.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjM3NTg3ODY2MF5BMl5BanBnXkFtZTgwODk3Mjg1MjE@._V1_SX300.jpg
Under the Cherry Moon,4.9,2370,N/A,98,1986,Comedy,Drama,PG-13,Prince,Prince,Jerome Benton,USA,Becky Johnston (screenplay),5 wins & 4 nominations.,2-Jul-86,tt0092133,"Two brothers from Miami are in the Mediterranean, enjoying life by scamming money off of rich women. One day, they read about a young woman set to inherit $50 million from her father. At ...",https://images-na.ssl-images-amazon.com/images/M/MV5BMTI4MDU0OTY3MV5BMl5BanBnXkFtZTcwMzExMDcyMQ@@._V1_SX300.jpg
Confidence,6.7,30695,59,97,2003,Crime,Thriller,R,James Foley,Edward Burns,Rachel Weisz,USA,Doug Jung,N/A,25-Apr-03,tt0310910,"Jake Vig (Burns) is a consummate grifter about to pull his biggest con yet, one set to avenge his friend's murder. But his last scam backfired, leaving him indebted to a mob boss (Hoffman) and his enforcer.",http://ia.media-imdb.com/images/M/MV5BOTM3NTQyMDAtMTg0OC00MDlkLWE1YTMtODBhNmY1ZWQ0OWVlXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg
Lilo & Stitch 2: Stitch Has a Glitch,6.3,7417,N/A,68,2005,Animation,Comedy,PG,Michael LaBash,Chris Sanders,Dakota Fanning,USA,"Anthony Leondis (screenplay), Michael LaBash (screenplay), Eddie Guzelian (screenplay), Alexa Junge (screenplay)",1 win & 2 nominations.,30-Aug-05,tt0457993,A malfunction threatens to destroy Stitch and his friendship with Lilo!,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUzMTAwMjg2M15BMl5BanBnXkFtZTcwMzQyMjAzMQ@@._V1_SX300.jpg
Silent Hill: Revelation 3D,5,50445,15,95,2012,Adventure,Drama,R,Michael J. Bassett,Adelaide Clemens,Kit Harington,France,"Michael J. Bassett, Laurent Hadida (adaptation)",7 nominations.,26-Oct-12,tt0938330,"When her father disappears, Heather Mason is drawn into a strange and terrifying alternate reality that holds answers to the horrific nightmares that have plagued her since childhood.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjE4Mjc2NjAyMl5BMl5BanBnXkFtZTcwNzA3MzE2OA@@._V1_SX300.jpg
Gifted Hands: The Ben Carson Story,7.8,6271,N/A,86,2009,Biography,Drama,N/A,Thomas Carter,Cuba Gooding Jr.,Kimberly Elise,USA,John Pielmeier,Nominated for 4 Primetime Emmys. Another 6 wins & 11 nominations.,7-Feb-09,tt1295085,"Biography of Ben Carson who grew up to be Dr. Ben Carson, a world famous neurosurgeon at Johns Hopkins.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ0NDI0NDkyOV5BMl5BanBnXkFtZTcwMTk1NzMzMg@@._V1_SX300.jpg
Ghost,7,156210,52,127,1990,Drama,Fantasy,PG-13,Jerry Zucker,Patrick Swayze,Demi Moore,USA,Bruce Joel Rubin,Won 2 Oscars. Another 16 wins & 22 nominations.,13-Jul-90,tt0099653,"After a young man is murdered, his spirit stays behind to warn his lover of impending danger, with the help of a reluctant psychic.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTU0NzQzODUzNl5BMl5BanBnXkFtZTgwMjc5NTYxMTE@._V1_SX300.jpg
Electricity,6,546,N/A,96,2014,Drama,Drama,N/A,Bryn Higgins,Paul Anderson,Lenora Crichlow,UK,"Joe Fisher (screenplay), Joe Fisher, Ray Robinson (novel), Ray Robinson (voice over writer)",N/A,12-Dec-14,tt2936470,A journey seen through the eyes of a young woman with epilepsy that brings extraordinary hallucinations as she searches for her long lost brother.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTAwMTI3MTk4ODReQTJeQWpwZ15BbWU4MDU4NTUyNjMx._V1_SX300.jpg
In Search of a Midnight Kiss,7.3,7227,64,90,2007,Comedy,Romance,N/A,Alex Holdridge,Scoot McNairy,Sara Simmonds,USA,Alex Holdridge,4 wins.,1-Aug-08,tt0989000,"Broke and alone on New Year's Eve, Wilson just wants to spend the rest of a very bad year in bed. But, when his best friend convinces him to post a personal ad, he meets a woman bent on finding the right guy to be with at midnight.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTQyMzMyMTY2M15BMl5BanBnXkFtZTcwNzQ1Mzc3MQ@@._V1_SX300.jpg
Flight,7.3,266651,76,138,2012,Drama,Thriller,R,Robert Zemeckis,Nadine Velazquez,Denzel Washington,USA,John Gatins,Nominated for 2 Oscars. Another 16 wins & 41 nominations.,2-Nov-12,tt1907668,"An airline pilot saves almost all his passengers on his malfunctioning airliner which eventually crashed, but an investigation into the accident reveals something troubling.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxMjI1OTMxNl5BMl5BanBnXkFtZTcwNjc3NTY1OA@@._V1_SX300.jpg
Fantastic Voyage,6.8,13293,N/A,100,1966,Adventure,Family,PG,Richard Fleischer,Stephen Boyd,Raquel Welch,USA,"Harry Kleiner (screenplay), David Duncan (adaptation), Otto Klement (story), Jerome Bixby (story)",Won 2 Oscars. Another 2 wins & 6 nominations.,24-Aug-66,tt0060397,"A scientist is nearly assassinated. In order to save him, a submarine is shrunken to microscopic size and injected into his blood stream with a small crew. Problems arise almost as soon as they enter the bloodstream.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjE3Mjk5MDM3OF5BMl5BanBnXkFtZTcwOTYwNzY0MQ@@._V1_SX300.jpg
Ecstasy,5.1,1531,N/A,99,2011,Drama,Romance,N/A,Rob Heydon,Adam Sinclair,Kristin Kreuk,Canada,"Rob Heydon (screenplay), Ben Tucker (screenplay), Matt MacLennan (additional scenes), Paul McCafferty (additional scenes), Irvine Welsh (based on a book by), Matt MacLennan (story editor)",5 wins & 5 nominations.,20-Nov-12,tt1809287,Small drug smuggler from Scotland is trying to figure out his way through life until he meets beautiful girl from Canada who seeks a change after bad relationship she just got out of it.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTcwMzg0Mjg2NV5BMl5BanBnXkFtZTcwODkwNzAyNw@@._V1_SX300.jpg
