,Dutifulness,Cooperation,Self-consciousness,Orderliness,Achievement striving,Self-efficacy,Activity level,Self-discipline,Excitement-seeking,Cautiousness,Morality,Anxiety,Emotionality,Vulnerability,Immoderation,Sympathy,Friendliness,Modesty,Altruism,Assertiveness,Adventurousness,Gregariousness,Intellect,Imagination,Artistic interests,Depression,Anger,Trust,Cheerfulness,Liberalism,Rated,Language,Country,Director,Year,Genre,Runtime,imdbVotes,Actors1,Actors2,Words,DiversityW,Verb/Noun,Zipf,WordL,imdbRating
The Dark Knight,0.416594914,0.395173011,0.247696704,0.360535468,0.477151123,0.332655743,0.293759374,0.497877252,0.285907993,0.519017394,0.958673048,0.069505958,0.537215593,0.146076602,0.426612034,0.851154703,0.385008047,0.879212929,0.680417309,0.686336546,0.818315214,0.345580068,0.976357694,0.411143771,0.496597476,0.535263746,0.192883187,0.070313104,0.452625432,0.351561013,PG-13,English,USA,Christopher Nolan,2008,Action,152,1699835,Christian Bale, Heath Ledger,15982,0.143911901,0.839517345,0.906373649,,9
The Godfather,0.398279826,0.388479897,0.115156979,0.4690367,0.535783025,0.40300735,0.38738816,0.646006109,0.356035767,0.391217011,0.938136336,0.083837035,0.675310282,0.148114506,0.449130468,0.846806111,0.763718738,0.84678475,0.757490941,0.810912627,0.715099897,0.627920866,0.915812498,0.242245661,0.490616052,0.389876709,0.273843048,0.08692306,0.750906099,0.137659152,R,English,USA,Francis Ford Coppola,1972,Crime,175,1169904,Marlon Brando, Al Pacino,13589,0.131209066,0.877121771,0.911930894,,9.2
The Lord of the Rings: The Fellowship of the Ring,0.661748242,0.619212211,0.580072237,0.369459941,0.388960774,0.241015289,0.279299996,0.255331712,0.32389649,0.707444369,0.907125881,0.21475138,0.79719539,0.312734239,0.402208556,0.981820357,0.157996095,0.954578191,0.841978813,0.36561338,0.608338394,0.052796876,0.997983023,0.871379854,0.962150405,0.789614281,0.12508988,0.302576397,0.25568578,0.536561433,PG-13,English,New Zealand,Peter Jackson,2001,Action,178,1252518,Alan Howard, Noel Appleby,11174,0.169500626,0.987758945,0.905879299,,8.8
The Matrix,0.570390638,0.75531633,0.398425075,0.408849516,0.460025998,0.286186105,0.297269353,0.543878986,0.248863988,0.758940276,0.986824297,0.056862016,0.743045611,0.207509225,0.286130171,0.858210059,0.291295817,0.9401885,0.795829376,0.581769708,0.952551183,0.134702293,0.994310944,0.441239734,0.832521761,0.467258204,0.052698049,0.170802979,0.404463407,0.616901172,R,English,USA,Lana Wachowski,1999,Action,136,1233966,Keanu Reeves, Laurence Fishburne,9714,0.156886967,0.697207251,0.93859429,,8.7
The silence of the lambs,0.436061831,0.600663739,0.269436405,0.513139043,0.483442949,0.265332045,0.164555279,0.490112716,0.105620688,0.668906811,0.965228897,0.129527192,0.768659114,0.250659177,0.445652373,0.92503489,0.363675873,0.869709399,0.660306038,0.531407643,0.530053695,0.088469148,0.952731757,0.235893015,0.570420817,0.460059505,0.44664793,0.06358711,0.357661181,0.379425191,R,English,USA,Jonathan Demme,1991,Crime,118,900711,Jodie Foster, Lawrence A. Bonney,10362,0.183169272,1.086085544,0.947189006,,8.6
Barbie and the Diamond Castle,0.732486791,0.934898494,0.252688388,0.497742851,0.326123898,0.094151039,0.2233214,0.694686291,0.188313621,0.863496405,0.998384133,0.12273235,0.931260084,0.371577353,0.398401747,0.960728637,0.525282559,0.994965164,0.920191795,0.304492145,0.84027437,0.466957505,0.88326611,0.290721617,0.95922698,0.454244558,0.053676946,0.24739246,0.789328446,0.415037968,N/A,English,USA,Gino Nichele,2008,"Animation, Family, Musical",79,"1,173",Kelly Sheridan, Melissa Lyons,6821,0.163612374,0.787234043,0.949838697,3.316815716,6.1
Zanjeer,0.345187995,0.356251184,0.304309155,0.318455632,0.400628432,0.392210991,0.388433427,0.347885428,0.333854296,0.372960254,0.835345004,0.255634389,0.621764446,0.348208849,0.387626752,0.86544807,0.576572715,0.765281509,0.61017331,0.614995591,0.6504896,0.323039515,0.874616499,0.373160314,0.396187691,0.63103964,0.463657471,0.179241296,0.452723146,0.319248631,N/A,"Hindi, Urdu",India,Prakash Mehra,1973,"Action, Crime, Drama",145,"2,757",Amitabh Bachchan, Jaya Bhaduri,11512,0.172515636,1.139960435,0.875987017,3.354847116,7.7
Electric Dreams,0.690800661,0.902438241,0.536036278,0.253852526,0.437684112,0.162976967,0.284746496,0.49897724,0.243592392,0.819461882,0.984461697,0.279652364,0.78768719,0.511505632,0.379479505,0.771199279,0.392040152,0.982231654,0.779486965,0.242753333,0.90032369,0.161846684,0.878269622,0.282645422,0.841730634,0.623916982,0.091127942,0.303189338,0.576366378,0.604755429,PG,English,"USA, UK",Steve Barron,1984,"Comedy, Drama, Music",95,"5,305",Lenny von Dohlen, Virginia Madsen,8210,0.183069428,1.219359331,0.907042967,3.271132765,6.5
Far from the Madding Crowd,0.609220726,0.852884103,0.305941865,0.466730431,0.488049053,0.153239881,0.210714219,0.651519033,0.166513649,0.807121415,0.996302705,0.120426656,0.833834783,0.303798346,0.383959495,0.939424035,0.517978411,0.990966012,0.806430212,0.309115353,0.626540796,0.232190997,0.885635427,0.132466201,0.744221794,0.360475846,0.163741557,0.123408143,0.784767282,0.178455676,PG-13,English,"UK, USA",Thomas Vinterberg,2015,"Drama, Romance",119,"30,858",Carey Mulligan, Matthias Schoenaerts,12366,0.129306162,0.845217391,0.957374196,3.095422934,7.1
Barbie as the Island Princess,0.562276584,0.867691298,0.308358751,0.612701511,0.558782204,0.197443529,0.312357994,0.686448878,0.363517387,0.75461953,0.995572831,0.203659158,0.955649587,0.447081101,0.560409656,0.986862338,0.46686373,0.978626038,0.938734919,0.333270615,0.887822924,0.350532798,0.926809434,0.640027332,0.981454951,0.460958035,0.165986516,0.283381466,0.848036431,0.570613045,N/A,English,USA,Greg Richardson,2007,"Animation, Family",86,"1,492",Kelly Sheridan, Melissa Lyons,7977,0.180769713,1.062868369,0.938405532,3.358405416,6.3
Under Suspicion,0.504888571,0.683603648,0.270654373,0.29900649,0.429339195,0.15616917,0.209890839,0.399252694,0.14074719,0.626017426,0.974433539,0.194391504,0.90958911,0.333372223,0.659116818,0.969486876,0.461056117,0.884349725,0.908144557,0.566897266,0.558831637,0.219147384,0.938477598,0.242712581,0.674730784,0.464756534,0.276558825,0.09312907,0.515160122,0.480316809,R,"English, Italian, Spanish","France, USA",Stephen Hopkins,2000,"Crime, Drama, Thriller",110,"18,327",Gene Hackman, Morgan Freeman,11235,0.172140632,0.864914707,0.911220317,3.416377392,6.5
Playing It Cool,0.481064962,0.819983767,0.556457239,0.209764823,0.228310885,0.044151044,0.08194688,0.235681356,0.267240409,0.619218143,0.959524021,0.334258506,0.914399622,0.662743791,0.695659684,0.909227196,0.244621597,0.972049637,0.848088106,0.2244129,0.760932995,0.203543922,0.95134867,0.384770632,0.923993521,0.673137681,0.141998655,0.116810182,0.551346854,0.807533676,R,N/A,USA,Justin Reardon,2014,"Comedy, Romance",94,"16,636",Chris Evans, Michelle Monaghan,15277,0.13634876,0.752165223,0.965399367,3.212869019,6
Confessions of a Teenage Drama Queen,0.603529543,0.821601798,0.362767973,0.167338328,0.345974443,0.078502018,0.204739482,0.472319591,0.214489023,0.725352937,0.975620035,0.330642793,0.837860832,0.569126866,0.675691617,0.917666453,0.482999576,0.980018606,0.813295892,0.320356064,0.649290057,0.433805937,0.870229029,0.248037303,0.790458754,0.642764241,0.20054128,0.167906047,0.614558059,0.590103375,PG,English,"Germany, USA",Sara Sugarman,2004,"Comedy, Family, Music",89,"23,545",Lindsay Lohan, Adam Garcia,11479,0.147312484,0.796088223,0.935870196,3.260475651,4.6
Mandela: Long Walk to Freedom,0.602938596,0.55349734,0.11066494,0.513060674,0.762355981,0.528861621,0.748165521,0.846762517,0.198932494,0.790010458,0.993506181,0.06417942,0.779912357,0.086022972,0.090973931,0.988268586,0.680769,0.840811211,0.904850159,0.888770883,0.947064987,0.263669283,0.984288,0.367932482,0.879490703,0.22765598,0.099293623,0.152964094,0.679376017,0.338459611,PG-13,"English, Afrikaans, Xhosa","UK, South Africa",Justin Chadwick,2013,"Biography, Drama, History",141,"21,565",Idris Elba, Naomie Harris,10235,0.157107963,0.904480551,0.943052302,3.30913532,7.1
Maniac Cop,0.440227921,0.444952783,0.200502236,0.465218613,0.445323706,0.300494535,0.154895366,0.509907581,0.191548686,0.487907904,0.968954931,0.101263001,0.57804175,0.142967152,0.526692498,0.828705491,0.428927111,0.891014788,0.663799007,0.658084373,0.585322981,0.263470263,0.938218421,0.256301733,0.314783358,0.469881164,0.305139107,0.029315486,0.409051351,0.184852886,R,English,USA,William Lustig,1988,"Action, Crime, Horror",85,"9,865",Tom Atkins, Bruce Campbell,7163,0.194192377,0.806279225,0.932498329,3.389641212,6
Under the Cherry Moon,0.431826181,0.745623701,0.187772194,0.529862948,0.405420392,0.11720457,0.171379795,0.6085307,0.331542055,0.56566764,0.987908296,0.116554784,0.844397849,0.300233595,0.484074606,0.822509698,0.604871804,0.97572784,0.836464278,0.443847596,0.832869308,0.590759072,0.856682451,0.195451812,0.815888398,0.369625175,0.183031317,0.05565316,0.875198519,0.252170271,PG-13,"English, French",USA,"Prince, Michael Ballhaus",1986,"Comedy, Drama, Music",98,"2,370",Prince, Jerome Benton,7980,0.160776942,0.834743006,0.957673849,3.098621554,4.9
Far from the Madding Crowd,0.808321981,0.866987472,0.308712363,0.356660575,0.657382528,0.239962973,0.258931053,0.734528558,0.062196253,0.911950525,0.995536565,0.090524057,0.665142337,0.213147561,0.344612987,0.943994851,0.361479245,0.982626721,0.828495635,0.527808223,0.524602053,0.0800747,0.98026629,0.078641531,0.650031572,0.292541642,0.070887763,0.113416584,0.496933793,0.21905365,PG-13,English,"UK, USA",Thomas Vinterberg,2015,"Drama, Romance",119,"30,858",Carey Mulligan, Matthias Schoenaerts,16144,0.128778494,0.876678877,0.936986672,3.244053518,7.1
Operation Petticoat,0.626150264,0.837454966,0.175075449,0.62687413,0.667482672,0.381122597,0.421453087,0.802491027,0.075964312,0.957599267,0.991044081,0.016996265,0.417913979,0.067922096,0.332926502,0.783299947,0.539253666,0.869545502,0.5343117,0.534419671,0.772453857,0.246364288,0.943327062,0.059340546,0.415371899,0.282225463,0.100362224,0.330643821,0.472932348,0.382090439,APPROVED,English,USA,Blake Edwards,1959,"Comedy, Romance, War",124,"9,364",Cary Grant, Tony Curtis,15698,0.138425277,0.997938853,0.932202557,3.312269079,7.3
American Pie,0.372137745,0.857540844,0.25833356,0.454273171,0.293422353,0.058387602,0.123789885,0.546675212,0.3131464,0.722606079,0.951720058,0.153513151,0.602653369,0.367105651,0.592817672,0.672727373,0.640622192,0.962778177,0.571642451,0.268614007,0.858803982,0.694613559,0.725174898,0.092604222,0.750313083,0.322830438,0.09330099,0.204586438,0.819745438,0.623610718,R,English,USA,"Paul Weitz, Chris Weitz",1999,Comedy,95,"317,667",Jason Biggs, Chris Klein,16345,0.126888957,1.169213974,0.978257588,2.953930866,7
Ghosts of Mars,0.385262912,0.398403701,0.14921576,0.617420167,0.413281171,0.451183217,0.357511732,0.609190595,0.336177461,0.627442018,0.910002523,0.050737346,0.415431546,0.077972876,0.454723199,0.551772958,0.590594999,0.730414383,0.422962458,0.687709904,0.86580873,0.507217341,0.939764781,0.344069077,0.451360603,0.358819327,0.16101499,0.171102373,0.471448844,0.349210323,R,English,USA,John Carpenter,2001,"Action, Horror, Sci-Fi",98,"43,359",Natasha Henstridge, Ice Cube,7578,0.1797308,0.787125558,0.899269256,3.368302982,4.9
Far from the Madding Crowd,0.546802121,0.799093923,0.226177965,0.380298938,0.554763795,0.183788978,0.327689028,0.556836032,0.219858739,0.663644182,0.993624035,0.147308317,0.883530488,0.390819063,0.402149138,0.980982107,0.578251355,0.981302581,0.887199402,0.422403232,0.712477828,0.317332141,0.953807964,0.229504353,0.851541641,0.439009111,0.165458966,0.143463254,0.780028353,0.224569153,PG-13,English,"UK, USA",Thomas Vinterberg,2015,"Drama, Romance",119,"30,858",Carey Mulligan, Matthias Schoenaerts,7847,0.168599465,0.847358121,0.957163334,3.214604307,7.1
Ghosts of the Abyss,0.644138672,0.824353727,0.542283193,0.481639766,0.421625014,0.315832608,0.246187763,0.37615972,0.183600269,0.946133454,0.780927524,0.113213955,0.506054705,0.200848195,0.473311656,0.942427466,0.242959636,0.648059124,0.669019556,0.357236555,0.67600512,0.113164621,0.997077804,0.675215995,0.884228016,0.507082563,0.057111593,0.655057448,0.219877986,0.921387535,PG,English,USA,James Cameron,2003,"Documentary, Family",61,"4,164",Bill Paxton, John Broadwater,12540,0.165948963,1.046345811,0.937189927,3.493460925,6.9
American Outlaws,0.226050024,0.392062038,0.05827338,0.737717257,0.450267357,0.413855996,0.401012987,0.621927677,0.443852384,0.511002692,0.853603546,0.047519192,0.430204252,0.052729415,0.386014019,0.808665322,0.885820966,0.492099642,0.453074433,0.657961196,0.870555875,0.822357816,0.896552311,0.439056266,0.665895074,0.19465143,0.207052773,0.181314737,0.839609863,0.337230888,PG-13,English,USA,Les Mayfield,2001,"Action, Western",94,"12,126",Colin Farrell, Scott Caan,12540,0.146969697,1.279126214,0.95578638,3.126714514,6
Viva Zapata!,0.465792637,0.502809471,0.153303524,0.468838172,0.493129298,0.292224121,0.394036688,0.569549628,0.220182252,0.5130602,0.975626137,0.068860727,0.769481367,0.138186404,0.331741535,0.962470693,0.535752126,0.903317894,0.862471928,0.792306326,0.81633376,0.24815102,0.98326407,0.285725208,0.736792932,0.45917603,0.147652745,0.091592945,0.592881541,0.137697049,N/A,"English, Spanish",USA,Elia Kazan,1952,"Biography, Drama, History",113,"7,470",Marlon Brando, Jean Peters,10019,0.142728815,0.768269231,0.919298754,3.297734305,7.5
Sniper,0.284989904,0.250776827,0.207819091,0.718226547,0.268819359,0.424774385,0.189427814,0.485152804,0.378075223,0.306233055,0.663787826,0.079513085,0.334278754,0.140982538,0.462691966,0.58656401,0.606998279,0.666305265,0.354363289,0.730911363,0.457789367,0.55537554,0.952248485,0.307017729,0.265634921,0.483050696,0.547595376,0.100977024,0.295685554,0.177060776,R,"English, Spanish","USA, Peru",Luis Llosa,1993,"Action, Drama, Thriller",98,"19,425",Tom Berenger, Billy Zane,4913,0.226745369,1.068376068,0.874820977,3.323020558,6.1
Yellow Sky,0.167159914,0.44547019,0.181285822,0.646464854,0.171314046,0.10364799,0.106436732,0.283266401,0.252912379,0.481099564,0.945135508,0.074991468,0.608822098,0.161578222,0.766896316,0.726904981,0.384438253,0.745168834,0.480503808,0.514363799,0.797272215,0.532906761,0.794514892,0.366964597,0.617909205,0.510212577,0.255165662,0.028546725,0.562163114,0.306675683,APPROVED,English,USA,William A. Wellman,1948,"Crime, Western",98,"3,068",Gregory Peck, Anne Baxter,8605,0.157466589,1.097924773,0.904374825,3.13980244,7.6
Election,0.760648155,0.819460623,0.405634444,0.186108277,0.542099763,0.240608399,0.327908953,0.484532214,0.147681405,0.867818978,0.969184437,0.264585599,0.827834152,0.466687232,0.433657725,0.96694062,0.481734052,0.909694199,0.884703705,0.549739141,0.438268725,0.339645269,0.87887262,0.14841698,0.721766544,0.459917081,0.111987105,0.311583899,0.693685828,0.620990715,R,"English, Spanish",USA,Alexander Payne,1999,"Comedy, Drama, Romance",103,"74,277",Matthew Broderick, Reese Witherspoon,12395,0.144655103,0.883730657,0.979887386,3.384509883,7.3
Fantastic Voyage,0.574011779,0.684770535,0.677618083,0.513100217,0.481964683,0.543071958,0.313099646,0.414258034,0.171689528,0.925796507,0.941863917,0.08058435,0.423524481,0.200678881,0.320183268,0.815151319,0.076576197,0.80878327,0.516470695,0.481053083,0.766372062,0.014679157,0.995295791,0.549100933,0.532802667,0.724525098,0.172586397,0.312416741,0.050213934,0.743672168,PG,English,USA,Richard Fleischer,1966,"Adventure, Family, Sci-Fi",100,"13,293",Stephen Boyd, Raquel Welch,7440,0.195430108,0.924285714,0.908996839,3.449865591,6.8
Lara Croft Tomb Raider: The Cradle of Life,0.791186351,0.89791415,0.339302637,0.505254421,0.53165888,0.277284137,0.269289327,0.663721749,0.16893305,0.877481265,0.979291312,0.084008598,0.779385136,0.212644901,0.392408611,0.939588066,0.478429077,0.957352384,0.839761619,0.303747274,0.757669159,0.133360633,0.993020345,0.507857632,0.908630871,0.300904495,0.034852,0.526420117,0.579975352,0.652943363,PG-13,"English, Mandarin","USA, Germany, Japan, UK",Jan de Bont,2003,"Action, Adventure, Fantasy",117,"103,811",Angelina Jolie, Gerard Butler,4809,0.21646912,1.012285012,0.93801749,3.238303182,5.5
In the Heat of the Night,0.34589666,0.6051276,0.087044679,0.711058035,0.442847551,0.247975345,0.176156166,0.674625493,0.225117287,0.658343621,0.986765889,0.019287739,0.550081655,0.051785305,0.393691382,0.778313109,0.706431879,0.849524165,0.543111916,0.542262435,0.844827675,0.486868898,0.855206595,0.147200745,0.447592252,0.172197551,0.149176225,0.064429073,0.804733009,0.156550456,APPROVED,English,USA,Norman Jewison,1967,"Crime, Drama, Mystery",109,"50,157",Sidney Poitier, Rod Steiger,10476,0.140893471,0.919828968,0.954305901,3.054219168,8
Z.P.G.,0.612897521,0.827455046,0.377611127,0.512122116,0.666896089,0.183542808,0.352307569,0.649783602,0.059380743,0.916716679,0.99559441,0.158325538,0.869321413,0.365736169,0.335162875,0.986178156,0.274733868,0.98213585,0.856968686,0.493578635,0.709772172,0.042412118,0.985033304,0.39767542,0.877592424,0.581790096,0.140375602,0.153201756,0.321603115,0.665529103,PG,English,USA,Michael Campus,1972,"Sci-Fi, Thriller",97,767,Oliver Reed, Geraldine Chaplin,6924,0.201039861,1.005460218,0.936246941,3.552426343,6.2
Revenge of the Green Dragons,0.126234742,0.181648766,0.072599007,0.645708056,0.345631522,0.339203317,0.280588276,0.473917929,0.567754065,0.203246666,0.766638112,0.071419359,0.536644037,0.076031791,0.554790772,0.647787065,0.785370987,0.534467129,0.468781215,0.783174155,0.925510455,0.824992955,0.963985005,0.506891371,0.678114025,0.346820302,0.348417517,0.071207659,0.632052834,0.497548776,R,"English, Chinese","Hong Kong, USA","Wai-Keung Lau, Andrew Loo",2014,"Action, Crime, Drama",94,"2,866",Justin Chon, Kevin Wu,6915,0.196384671,1.112967383,0.966645545,3.346059291,5.3
Snow Buddies,0.430691598,0.723333489,0.152512007,0.718594651,0.554998977,0.289447742,0.505875143,0.704082361,0.323125801,0.70100884,0.88691715,0.089959965,0.338568449,0.137153733,0.411302786,0.511947959,0.793597501,0.762215,0.427466394,0.462002374,0.822261679,0.776881028,0.361241,0.196615491,0.531273713,0.171975279,0.175133305,0.3821843,0.78027649,0.213256074,G,English,USA,Robert Vince,2008,"Adventure, Family",87,"2,478",Jim Belushi, Jimmy Bennett,9602,0.151010206,1.44191764,0.956985112,3.112684857,5.4
Gifted Hands: The Ben Carson Story,0.597140916,0.6944811,0.51454285,0.460538082,0.572863963,0.372678086,0.339020489,0.612718489,0.178013154,0.841596937,0.979733041,0.16130978,0.675410198,0.379722685,0.420947032,0.822787256,0.375920502,0.936242812,0.685330974,0.519015609,0.573847494,0.150588489,0.936408181,0.264521902,0.656837415,0.523964729,0.221955678,0.138492255,0.421098872,0.424842979,N/A,English,USA,Thomas Carter,2009,"Biography, Drama",86,"6,271",Cuba Gooding Jr., Kimberly Elise,8434,0.200023714,0.896470588,0.951578695,3.418425421,7.8
Congorama,0.236401448,0.395325279,0.282462684,0.593064649,0.312935075,0.324167646,0.230309287,0.38070688,0.240362616,0.434503504,0.646209532,0.151126742,0.352096273,0.292089732,0.414269417,0.827497095,0.426032219,0.707630809,0.472612196,0.629990583,0.548581372,0.213274499,0.949395861,0.304536895,0.547167357,0.591401842,0.730291832,0.138416657,0.178764259,0.336612654,N/A,French,"Canada, Belgium, France",Philippe Falardeau,2006,"Comedy, Drama",105,"1,053",Olivier Gourmet, Paul Ahmarani,7049,0.228259328,1.361928105,0.930283062,3.34685771,7.2
Date with an Angel,0.53657941,0.903019084,0.200143748,0.659496988,0.376188549,0.07189191,0.105389689,0.750743623,0.171332862,0.8863125,0.996339319,0.076116477,0.67552091,0.225724972,0.319136169,0.700900211,0.560505312,0.992347277,0.610001563,0.264916544,0.847630997,0.477903588,0.645251288,0.048618845,0.640558438,0.244016966,0.077574867,0.078768791,0.85074784,0.23431012,PG,English,USA,Tom McLoughlin,1987,"Comedy, Fantasy, Romance",105,"2,050",Michael E. Knight, Phoebe Cates,10723,0.136622214,0.853153587,0.963918988,3.068357736,5.8
Darkman,0.404681433,0.718180074,0.569842865,0.430465297,0.347091562,0.131610164,0.09955139,0.327377616,0.254270742,0.717132307,0.977764767,0.15714762,0.739855482,0.432936336,0.460978576,0.828979735,0.130103822,0.954237012,0.583784178,0.266808221,0.819257536,0.061832697,0.960517992,0.512592997,0.789415397,0.622471818,0.190168662,0.096752734,0.491103763,0.661047024,R,English,USA,Sam Raimi,1990,"Action, Crime, Fantasy",96,"48,314",Liam Neeson, Frances McDormand,5760,0.209895833,0.973048327,0.947708016,3.296875,6.4
Congo,0.375822981,0.68351654,0.227401995,0.666775162,0.352064556,0.168308878,0.195046441,0.591161694,0.211027946,0.758458481,0.954979196,0.064045813,0.556887585,0.145634993,0.532080272,0.80991379,0.482440644,0.825486754,0.529351501,0.38296755,0.848803218,0.410562639,0.966054423,0.379625561,0.834215566,0.318198141,0.173515514,0.126870094,0.515820501,0.625949111,PG-13,"English, American Sign Language",USA,Frank Marshall,1995,"Action, Adventure, Mystery",109,"34,905",Laura Linney, Dylan Walsh,9573,0.159197744,0.947308782,0.964611329,3.121487517,5
Open Windows,0.472544074,0.625965801,0.363715827,0.285487792,0.213158185,0.078176449,0.092747351,0.39445379,0.173970427,0.642231821,0.960713566,0.11923362,0.600427951,0.334336774,0.562514801,0.455998283,0.286772425,0.979913326,0.542291814,0.344614433,0.724803507,0.305904501,0.8658766,0.121804243,0.360344282,0.638460476,0.178384685,0.078368846,0.380926194,0.33441086,N/A,"English, Spanish, French","Spain, USA",Nacho Vigalondo,2014,"Crime, Thriller",100,"10,711",Elijah Wood, Sasha Grey,11470,0.122057541,0.679411765,0.916336982,3.110200523,5.2
American Pie 2,0.354577213,0.832166909,0.131291694,0.527706517,0.310335916,0.089895144,0.181754823,0.679536505,0.280003927,0.687861032,0.943242067,0.110544252,0.567236127,0.283465205,0.681312226,0.497127287,0.843811652,0.912259215,0.48555508,0.347931846,0.805598115,0.861077524,0.697069612,0.062797721,0.700895946,0.246069893,0.093720972,0.249345426,0.851589832,0.530824272,R,English,USA,J.B. Rogers,2001,Comedy,108,"201,886",Jason Biggs, Shannon Elizabeth,12967,0.136114753,0.924093817,0.952899151,3.086912933,6.4
American Soldiers,0.123773607,0.250002541,0.136996502,0.852082241,0.427885527,0.426682844,0.317020899,0.716736248,0.474971638,0.465804972,0.871445771,0.041379293,0.22464237,0.074845545,0.391076018,0.328982985,0.725683078,0.670648134,0.15511826,0.652019381,0.854403882,0.704176058,0.791290578,0.373388118,0.450808201,0.330872007,0.274630112,0.06104047,0.73760051,0.163422534,R,English,Canada,Sidney J. Furie,2005,"Action, Drama, History",103,"2,227",Curtis Morgan, Zan Calabretta,14795,0.34964515,1.214492754,0.981469073,4.525312606,3.1
Jab Tak Hai Jaan,0.254111201,0.192875157,0.814852699,0.091463955,0.295634858,0.530259761,0.44421211,0.05934518,0.857193217,0.018536226,0.559032619,0.91566885,0.97446228,0.943131176,0.287554993,0.970321624,0.351594342,0.889745158,0.923395761,0.462026203,0.753978356,0.101037903,0.524607149,0.954578332,0.767185745,0.961333962,0.943447279,0.112785728,0.625031364,0.19586239,NOT RATED,Hindi,India,Yash Chopra,2012,"Drama, Romance",176,"42,792",Shah Rukh Khan, Katrina Kaif,4110,0.198783455,1.092511013,0.919143116,3.535036496,6.9
Mandingo,0.118984496,0.54244504,0.15356535,0.843673223,0.330739001,0.147996278,0.116122754,0.603878812,0.313972553,0.537624452,0.959660034,0.0608935,0.520385673,0.150195209,0.434408259,0.744448352,0.580736239,0.851928089,0.392432182,0.437650738,0.836064283,0.365668949,0.727288513,0.330728365,0.787948203,0.240590131,0.328313059,0.023329141,0.867458636,0.136995222,R,English,USA,Richard Fleischer,1975,"Drama, History, Romance",127,"2,578",James Mason, Susan George,11362,0.141348354,0.96492986,0.980130351,3.129906707,6.2
Zanjeer,0.475592826,0.564145009,0.288640654,0.342956462,0.441107557,0.216254306,0.359715501,0.442753159,0.256183249,0.464710605,0.983643838,0.183882377,0.858938818,0.394084466,0.303665087,0.938235311,0.515248469,0.981052557,0.859586879,0.609761314,0.727406789,0.317310999,0.888527604,0.30224965,0.537242005,0.643286257,0.271626442,0.067091698,0.644806955,0.069213893,N/A,"Hindi, Urdu",India,Prakash Mehra,1973,"Action, Crime, Drama",145,"2,757",Amitabh Bachchan, Jaya Bhaduri,11741,0.141299719,0.796595745,0.919879266,3.187633081,7.7
Far from Heaven,0.813495317,0.979108064,0.27181842,0.394090607,0.652725262,0.12480554,0.284689141,0.713877672,0.078140531,0.940452483,0.998545863,0.157951491,0.943036303,0.377298592,0.375643123,0.975765826,0.646378887,0.988234141,0.908908911,0.213145087,0.665789027,0.368676924,0.836973162,0.086794865,0.858580337,0.293460674,0.11132517,0.398572283,0.819354711,0.539128421,PG-13,English,"USA, France",Todd Haynes,2002,"Drama, Romance",107,"36,796",Julianne Moore, Dennis Quaid,11960,0.142307692,1.019486692,0.978855601,3.278177258,7.4
Undercurrent,0.794093804,0.944363743,0.407080403,0.276465324,0.393865097,0.057651368,0.083088953,0.409404349,0.078000647,0.850297843,0.996871345,0.17591668,0.91161983,0.418412585,0.528256633,0.983170204,0.320042341,0.996156249,0.934646916,0.221529554,0.483640597,0.16795932,0.893887084,0.10060411,0.742637388,0.521411824,0.095289967,0.131171958,0.607536073,0.346284991,APPROVED,English,USA,Vincente Minnelli,1946,"Drama, Film-Noir, Thriller",116,"2,019",Katharine Hepburn, Robert Taylor,18897,0.102344287,0.710897948,0.951746039,3.117161454,6.6
Year of the Dragon,0.025865709,0.26726954,0.737072257,0.671122942,0.231208124,0.411556386,0.38497191,0.24252873,0.974692142,0.390878418,0.334905773,0.732204931,0.454185421,0.691375175,0.69619785,0.609202432,0.30137121,0.505470777,0.384615225,0.38301139,0.360679505,0.405825207,0.777443649,0.689941128,0.638772395,0.794525314,0.591105024,0.245004076,0.296539087,0.843127218,R,"Mandarin, English, Cantonese, Vietnamese, Polish",USA,Michael Cimino,1985,"Action, Crime, Drama",134,"10,652",Mickey Rourke, John Lone,12649,0.218594355,9.455904335,0.912511187,3.559411811,6.9
Kiss of the Spider Woman,0.422547794,0.638906123,0.645816462,0.303750917,0.211955558,0.100396382,0.056875385,0.169174653,0.291038662,0.57030038,0.959473831,0.39006277,0.901632187,0.617783598,0.665943218,0.91500573,0.079506814,0.956832852,0.838391604,0.360700324,0.519365441,0.057100875,0.963062276,0.538714501,0.880963403,0.733468261,0.310535108,0.045778383,0.363450445,0.586554229,R,"English, French, Portuguese, German","Brazil, USA",Hector Babenco,1985,"Drama, Romance",120,"10,952",William Hurt, Raul Julia,10541,0.165164595,0.803118908,0.93494992,3.340574898,7.4
Z Storm,0.355223556,0.423152154,0.091213057,0.562605997,0.683028933,0.575841898,0.630914661,0.780221527,0.204861992,0.655508573,0.936694834,0.035486616,0.321289114,0.061818586,0.159427707,0.808628381,0.78361451,0.65206764,0.488568362,0.867274209,0.862103894,0.399419114,0.931333688,0.105007923,0.1917876,0.244794359,0.305437043,0.188973872,0.51216053,0.26694445,N/A,"Cantonese, English",Hong Kong,David Lam,2014,"Action, Crime",92,402,Louis Koo, Ka Tung Lam,8774,0.178025986,1.212266987,0.947016862,3.383519489,5.2
